,0,1,2,3,4,5,6,7,8
level_0,886,887,895,899,902,1670,1673,2047,2969
index,886,887,895,899,902,1670,1673,2047,2969
gene_id,K00362,K00363,K00370,K00371,K00374,K02567,K02568,K03385,K15876
gene_description,respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787],respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787],respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],dissimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798],dissimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798],respiratory nitrite reductase [EC:1.7.2.2] [RN:R05712],respiratory nitrite reductase [EC:1.7.2.2] [RN:R05712]
module,"Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia"
header,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen
subheader,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen
Fen-336;f__Fen-336;g__;s__-2,False,True,False,False,False,False,False,True,True
Fen-336;f__Fen-336;g__;s__-4,False,False,False,False,False,False,False,False,False
Fen-336;f__Fen-336;g__;s__-6,False,True,False,False,False,False,False,True,True
Fen-336;f__Fen-336;g__;s__-7,False,True,False,False,False,False,False,False,False
Fen-336;f__Fen-336;g__;s__-9,False,True,False,False,False,False,False,False,False
Fen-336;f__Fen-336;g__FEN-336;s__-3,False,False,False,False,False,False,False,False,False
Fen-336;f__Fen-336;g__FEN-336;s__-8,False,False,False,False,False,False,False,True,True
Vicinamibacterales;f__Fen-181;g__;s__-1,False,False,False,False,False,False,False,False,False
Vicinamibacterales;f__Fen-181;g__;s__-5,False,False,False,False,False,False,False,False,False
Vicinamibacterales;f__Fen-181;g__FEN-299;s__-0,False,False,False,False,True,False,False,False,False
